Promotion Code,Entitlement Category,,,,,,,,,,,,,,,,,,,Initial Allocation Amount,Recurring Allocation Amount,Entitlement Validity Period,Entitlement Validity Period Unit,Prorate Method,Prepaid Creation GL Code,Prepaid Consumption GL Code,Prepaid Expiry GL Code,Recurring Period,Recurring Period Unit,Allocation Validity Period,Allocation Validity Period Unit,Postpaid Creation GL Code,Postpaid Consumption GL Code,Postpaid Expiry GL Code,Invoice Message Code,,,,,Description
Unlimited Freedom Text on Select Rate Plans,Freedom Text,,,,,,,,,,,,,,,,,,,,99999,999,Months,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Months,1,Months,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,Usage and Add-on Promo,,,,,Get Unlimited Freedom Text on Select Rate Plans
Unlimited Nationwide Talk on Select Rate Plans,Voice Nationwide,,,,,,,,,,,,,,,,,,,,99999,999,Months,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Months,1,Months,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,Usage and Add-on Promo,,,,,Get Unlimited Nationwide Talk on Select Rate Plans
Unlimited Nationwide Text on Select Rate Plans,Nationwide Text,,,,,,,,,,,,,,,,,,,,99999,999,Months,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Months,1,Months,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,Usage and Add-on Promo,,,,,Get Unlimited Nationwide Text on Select Rate Plans
25GB Big Binge Bonus,Big Binge Bonus Data,,,,,,,,,,,,,,,,,,,25,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Big Binge Bonus Data,,,,,Get 25GB of Fast LTE Freedom Data to use above your monthly plan data amount
Donation $65 Off x 12 Mo,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,65,13,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,Get $65 off for 12mo on select prepaid plans
Discount: $45 Connection Fee Waiver Postpaid on Select Plans,One Time Fee Waive,,,,,,,,,,,,,,,,,,,45,,1,Months,None,101-505-400200-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400200-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400200-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400200-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400200-1002-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000;101-505-400200-1002-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000,101-000-111120-0000-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000,101-000-111120-0000-0000000-0000000-000-00000-0000000;101-505-400200-1002-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000;101-505-400200-1002-0000000-0000000-000-00000-0000000,Connection Fee Waiver,,,,,One time fee waiver of $45 for Connection Fee
AAL 1GB Freedom Data for 24 months,Data Policy-Freedom,,,,,,,,,,,,,,,,,,,,1024,24,Months,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Months,1,Months,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Additional Bonus Data,,,,,Get 1GB of Fast LTE Freedom Data for 24 mo when you add a line on select plans
Discount: $35 Off Connection Fee - Postpaid,One Time Fee Waive,,,,,,,,,,,,,,,,,,,35,,1,Months,None,101-505-400200-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400200-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400200-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400200-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400200-1002-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000;101-505-400200-1002-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000,101-000-111120-0000-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000,101-000-111120-0000-0000000-0000000-000-00000-0000000;101-505-400200-1002-0000000-0000000-000-00000-0000000;101-000-111120-0000-0000000-0000000-000-00000-0000000;101-505-400200-1002-0000000-0000000-000-00000-0000000,Connection Fee Waiver,,,,,One time fee waiver of $35 for Connection Fee
$6 Per Month Rate Plan Discount,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,6,999,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,Get a $6/mo. recurring credit with continued subscription to an eligible plan
25GB Big Binge Bonus BYOP,Big Binge Bonus Data,,,,,,,,,,,,,,,,,,,25,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Big Binge Bonus Data,,,,,Get 25GB of Fast LTE Freedom Data to use above your monthly plan data amount
U.S. Long Distance $5 off for 1 Month,Add On Discount Subaccount,,,,,,,,,,,,,,,,,,,,5,1,Months,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Months,1,Months,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Usage and Add-on Promo,,,,,$5 MRC credit for U.S. Long Distance add-on for 1 month.
10GB Big Binge Bonus BYOP,Big Binge Bonus Data,,,,,,,,,,,,,,,,,,,10,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Big Binge Bonus Data,,,,,Get 10GB of Fast LTE Freedom Data to use above your monthly plan data amount
10GB Big Binge Bonus Offer,Big Binge Bonus Data,,,,,,,,,,,,,,,,,,,10,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Big Binge Bonus Data,,,,,Get 10GB of Fast LTE Freedom Data to use above your monthly plan data amount
25GB Big Binge Bonus Offer,Big Binge Bonus Data,,,,,,,,,,,,,,,,,,,25,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Big Binge Bonus Data,,,,,Get 25GB of Fast LTE Freedom Data to use above your monthly plan data amount
50GB Big Binge Bonus Offer,Big Binge Bonus Data,,,,,,,,,,,,,,,,,,,50,,,,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Big Binge Bonus Data,,,,,Get 50GB of Fast LTE Freedom Data to use above your monthly plan data amount
1000 Minutes to Select Countries,Voice ILD 18 Destinations,,,,,,,,,,,,,,,,,,,1000,,24,Months,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,,,,,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Usage and Add-on Promo,,,,,1000 long distance minutes to select countries; expires after 2 years
$5 off X 24 months for $70+ plans,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,5,24,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,Get $5 off for 24 mo on select plans
$10 off X 24 months for $50+ plans,Rate Plan Discount Subaccount,,,,,,,,,,,,,,,,,,,,10,24,Bill Cycles,None,101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000,101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000;101-000-242000-0000-0000000-0000000-000-00000-0000000;101-505-400309-1001-0000000-0000000-000-00000-0000000,1,Bill Cycles,1,Bill Cycles,101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000,101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000;101-000-111125-0000-0000000-0000000-000-00000-0000000;101-505-400399-1002-0000000-0000000-000-00000-0000000,Rate Plan Discount Promo,,,,,Get $10 off for 24 mo on select plans
