Promo Code,Rule Function,Parameter,Elig Type,SEQNR,,,,,,,,,,,,,,,,Parameter Value,Code Value,,,,,,,,,,,,,,,,,,Result
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,403,,,,,,,,,,,,,,,,WIND40 Free Voice Mail+,1000262,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,404,,,,,,,,,,,,,,,,WIND40 Free World Saver,1000261,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_Channel&,Channel,Init,405,,,,,,,,,,,,,,,,MOBILE_APP,,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_Channel&,Channel,Init,406,,,,,,,,,,,,,,,,Web,,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_Channel&,Channel,Init,407,,,,,,,,,,,,,,,,Call Centre,,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,536,,,,,,,,,,,,,,,,Unlimited Holiday 45,1000343,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Init+Rec,537,,,,,,,,,,,,,,,,Unlimited Holiday 55,1000344,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_Channel&,Channel,Init,538,,,,,,,,,,,,,,,,CAP,,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_RatePlanTo&,RatePlanTo,Rec,1130,,,,,,,,,,,,,,,,Smartphone 45 LTE,1000358,,,,,,,,,,,,,,,,,,,
Supervisor_Above_6_10,fGW_PRO_RULE_MinActiveDays&,MinActiveDays,Rec,2169,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_10_10,fGW_PRO_RULE_MinActiveDays&,MinActiveDays,Rec,2172,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Loyalty_Above_10_10,fGW_PRO_RULE_MinActiveDays&,MinActiveDays,Rec,2175,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_6_10,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14009,,,,,,,,,,,,,,,,GW CONSUMER,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_10_10,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14011,,,,,,,,,,,,,,,,GW CONSUMER,,,,,,,,,,,,,,,,,,,,
Loyalty_Above_10_10,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14014,,,,,,,,,,,,,,,,GW CONSUMER,,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14030,,,,,,,,,,,,,,,,GW CONSUMER,,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14034,,,,,,,,,,,,,,,,GW CONSUMER,,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14043,,,,,,,,,,,,,,,,GW CONSUMER,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_6_10,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14337,,,,,,,,,,,,,,,,GW BUSINESS,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_10_10,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14339,,,,,,,,,,,,,,,,GW BUSINESS,,,,,,,,,,,,,,,,,,,,
Loyalty_Above_10_10,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14342,,,,,,,,,,,,,,,,GW BUSINESS,,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14358,,,,,,,,,,,,,,,,GW BUSINESS,,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14362,,,,,,,,,,,,,,,,GW BUSINESS,,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_CustomerType&,CustomerType,Init,14371,,,,,,,,,,,,,,,,GW BUSINESS,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_6_10,fGW_PRO_RULE_PrimarySecondaryType&,PrimarySecondaryType,Init+Rec,19538,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,,,,,,,
Supervisor_Above_10_10,fGW_PRO_RULE_PrimarySecondaryType&,PrimarySecondaryType,Init+Rec,19540,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,,,,,,,
Loyalty_Above_10_10,fGW_PRO_RULE_PrimarySecondaryType&,PrimarySecondaryType,Init+Rec,19543,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,,,,,,,
Freedom 10 PA,fGW_PRO_RULE_PrimarySecondaryType&,PrimarySecondaryType,Init+Rec,19559,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,,,,,,,
BYOP 150 Prepaid,fGW_PRO_RULE_PrimarySecondaryType&,PrimarySecondaryType,Init+Rec,19563,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,fGW_PRO_RULE_PrimarySecondaryType&,PrimarySecondaryType,Init+Rec,19572,,,,,,,,,,,,,,,,Primary,,,,,,,,,,,,,,,,,,,,
